start_time,end_time,tweet_Count
2022-10-01T00:00:00.000Z,2022-10-02T00:00:00.000Z,8179
2022-10-02T00:00:00.000Z,2022-10-03T00:00:00.000Z,7898
2022-10-03T00:00:00.000Z,2022-10-04T00:00:00.000Z,16527
2022-10-04T00:00:00.000Z,2022-10-05T00:00:00.000Z,11071
2022-10-05T00:00:00.000Z,2022-10-06T00:00:00.000Z,8897
2022-10-06T00:00:00.000Z,2022-10-07T00:00:00.000Z,10691
2022-10-07T00:00:00.000Z,2022-10-08T00:00:00.000Z,10634
2022-10-08T00:00:00.000Z,2022-10-09T00:00:00.000Z,8909
2022-10-09T00:00:00.000Z,2022-10-10T00:00:00.000Z,7468
2022-10-10T00:00:00.000Z,2022-10-11T00:00:00.000Z,8383
2022-10-11T00:00:00.000Z,2022-10-12T00:00:00.000Z,14974
2022-10-12T00:00:00.000Z,2022-10-13T00:00:00.000Z,9987
2022-10-13T00:00:00.000Z,2022-10-14T00:00:00.000Z,12204
2022-10-14T00:00:00.000Z,2022-10-15T00:00:00.000Z,9912
2022-10-15T00:00:00.000Z,2022-10-16T00:00:00.000Z,9104
2022-10-16T00:00:00.000Z,2022-10-17T00:00:00.000Z,8567
2022-10-17T00:00:00.000Z,2022-10-18T00:00:00.000Z,13967
2022-10-18T00:00:00.000Z,2022-10-19T00:00:00.000Z,17936
2022-10-19T00:00:00.000Z,2022-10-20T00:00:00.000Z,14767
2022-10-20T00:00:00.000Z,2022-10-21T00:00:00.000Z,14478
2022-10-21T00:00:00.000Z,2022-10-22T00:00:00.000Z,19596
2022-10-22T00:00:00.000Z,2022-10-23T00:00:00.000Z,18729
2022-10-23T00:00:00.000Z,2022-10-24T00:00:00.000Z,18242
2022-10-24T00:00:00.000Z,2022-10-25T00:00:00.000Z,20502
2022-10-25T00:00:00.000Z,2022-10-26T00:00:00.000Z,22015
2022-10-26T00:00:00.000Z,2022-10-27T00:00:00.000Z,17520
2022-10-27T00:00:00.000Z,2022-10-28T00:00:00.000Z,17371
2022-10-28T00:00:00.000Z,2022-10-29T00:00:00.000Z,17446
2022-10-29T00:00:00.000Z,2022-10-30T00:00:00.000Z,11022
2022-10-30T00:00:00.000Z,2022-10-31T00:00:00.000Z,10547
2022-10-31T00:00:00.000Z,2022-11-01T00:00:00.000Z,10442
2022-08-31T00:00:00.000Z,2022-09-01T00:00:00.000Z,8257
2022-09-01T00:00:00.000Z,2022-09-02T00:00:00.000Z,8527
2022-09-02T00:00:00.000Z,2022-09-03T00:00:00.000Z,8760
2022-09-03T00:00:00.000Z,2022-09-04T00:00:00.000Z,8595
2022-09-04T00:00:00.000Z,2022-09-05T00:00:00.000Z,9159
2022-09-05T00:00:00.000Z,2022-09-06T00:00:00.000Z,8900
2022-09-06T00:00:00.000Z,2022-09-07T00:00:00.000Z,8690
2022-09-07T00:00:00.000Z,2022-09-08T00:00:00.000Z,10498
2022-09-08T00:00:00.000Z,2022-09-09T00:00:00.000Z,11823
2022-09-09T00:00:00.000Z,2022-09-10T00:00:00.000Z,14596
2022-09-10T00:00:00.000Z,2022-09-11T00:00:00.000Z,21827
2022-09-11T00:00:00.000Z,2022-09-12T00:00:00.000Z,16262
2022-09-12T00:00:00.000Z,2022-09-13T00:00:00.000Z,11443
2022-09-13T00:00:00.000Z,2022-09-14T00:00:00.000Z,10636
