start_time,end_time,tweet_Count
2022-10-01T00:00:00.000Z,2022-10-02T00:00:00.000Z,784
2022-10-02T00:00:00.000Z,2022-10-03T00:00:00.000Z,703
2022-10-03T00:00:00.000Z,2022-10-04T00:00:00.000Z,942
2022-10-04T00:00:00.000Z,2022-10-05T00:00:00.000Z,653
2022-10-05T00:00:00.000Z,2022-10-06T00:00:00.000Z,662
2022-10-06T00:00:00.000Z,2022-10-07T00:00:00.000Z,647
2022-10-07T00:00:00.000Z,2022-10-08T00:00:00.000Z,879
2022-10-08T00:00:00.000Z,2022-10-09T00:00:00.000Z,623
2022-10-09T00:00:00.000Z,2022-10-10T00:00:00.000Z,526
2022-10-10T00:00:00.000Z,2022-10-11T00:00:00.000Z,515
2022-10-11T00:00:00.000Z,2022-10-12T00:00:00.000Z,428
2022-10-12T00:00:00.000Z,2022-10-13T00:00:00.000Z,457
2022-10-13T00:00:00.000Z,2022-10-14T00:00:00.000Z,579
2022-10-14T00:00:00.000Z,2022-10-15T00:00:00.000Z,786
2022-10-15T00:00:00.000Z,2022-10-16T00:00:00.000Z,1091
2022-10-16T00:00:00.000Z,2022-10-17T00:00:00.000Z,933
2022-10-17T00:00:00.000Z,2022-10-18T00:00:00.000Z,529
2022-10-18T00:00:00.000Z,2022-10-19T00:00:00.000Z,495
2022-10-19T00:00:00.000Z,2022-10-20T00:00:00.000Z,925
2022-10-20T00:00:00.000Z,2022-10-21T00:00:00.000Z,765
2022-10-21T00:00:00.000Z,2022-10-22T00:00:00.000Z,1056
2022-10-22T00:00:00.000Z,2022-10-23T00:00:00.000Z,550
2022-10-23T00:00:00.000Z,2022-10-24T00:00:00.000Z,513
2022-10-24T00:00:00.000Z,2022-10-25T00:00:00.000Z,549
2022-10-25T00:00:00.000Z,2022-10-26T00:00:00.000Z,561
2022-10-26T00:00:00.000Z,2022-10-27T00:00:00.000Z,456
2022-10-27T00:00:00.000Z,2022-10-28T00:00:00.000Z,491
2022-10-28T00:00:00.000Z,2022-10-29T00:00:00.000Z,520
