start_time,end_time,tweet_Count
2022-10-01T00:00:00.000Z,2022-10-02T00:00:00.000Z,9266
2022-10-02T00:00:00.000Z,2022-10-03T00:00:00.000Z,8126
2022-10-03T00:00:00.000Z,2022-10-04T00:00:00.000Z,8750
2022-10-04T00:00:00.000Z,2022-10-05T00:00:00.000Z,8429
2022-10-05T00:00:00.000Z,2022-10-06T00:00:00.000Z,9471
2022-10-06T00:00:00.000Z,2022-10-07T00:00:00.000Z,10994
2022-10-07T00:00:00.000Z,2022-10-08T00:00:00.000Z,12299
2022-10-08T00:00:00.000Z,2022-10-09T00:00:00.000Z,9891
2022-10-09T00:00:00.000Z,2022-10-10T00:00:00.000Z,8583
2022-10-10T00:00:00.000Z,2022-10-11T00:00:00.000Z,8742
2022-10-11T00:00:00.000Z,2022-10-12T00:00:00.000Z,8758
2022-10-12T00:00:00.000Z,2022-10-13T00:00:00.000Z,10026
2022-10-13T00:00:00.000Z,2022-10-14T00:00:00.000Z,11199
2022-10-14T00:00:00.000Z,2022-10-15T00:00:00.000Z,11916
2022-10-15T00:00:00.000Z,2022-10-16T00:00:00.000Z,8324
2022-10-16T00:00:00.000Z,2022-10-17T00:00:00.000Z,7392
2022-10-17T00:00:00.000Z,2022-10-18T00:00:00.000Z,9545
2022-10-18T00:00:00.000Z,2022-10-19T00:00:00.000Z,10531
2022-10-19T00:00:00.000Z,2022-10-20T00:00:00.000Z,10508
2022-10-20T00:00:00.000Z,2022-10-21T00:00:00.000Z,10370
2022-10-21T00:00:00.000Z,2022-10-22T00:00:00.000Z,9116
2022-10-22T00:00:00.000Z,2022-10-23T00:00:00.000Z,7507
2022-10-23T00:00:00.000Z,2022-10-24T00:00:00.000Z,7647
2022-10-24T00:00:00.000Z,2022-10-25T00:00:00.000Z,8035
2022-10-25T00:00:00.000Z,2022-10-26T00:00:00.000Z,9024
2022-10-26T00:00:00.000Z,2022-10-27T00:00:00.000Z,8895
2022-10-27T00:00:00.000Z,2022-10-28T00:00:00.000Z,9363
2022-10-28T00:00:00.000Z,2022-10-29T00:00:00.000Z,8631
2022-10-29T00:00:00.000Z,2022-10-30T00:00:00.000Z,8357
2022-10-30T00:00:00.000Z,2022-10-31T00:00:00.000Z,8323
2022-10-31T00:00:00.000Z,2022-11-01T00:00:00.000Z,7384
2022-08-31T00:00:00.000Z,2022-09-01T00:00:00.000Z,8381
2022-09-01T00:00:00.000Z,2022-09-02T00:00:00.000Z,8270
2022-09-02T00:00:00.000Z,2022-09-03T00:00:00.000Z,9005
2022-09-03T00:00:00.000Z,2022-09-04T00:00:00.000Z,7512
2022-09-04T00:00:00.000Z,2022-09-05T00:00:00.000Z,7984
2022-09-05T00:00:00.000Z,2022-09-06T00:00:00.000Z,7594
2022-09-06T00:00:00.000Z,2022-09-07T00:00:00.000Z,8259
2022-09-07T00:00:00.000Z,2022-09-08T00:00:00.000Z,8966
2022-09-08T00:00:00.000Z,2022-09-09T00:00:00.000Z,9906
2022-09-09T00:00:00.000Z,2022-09-10T00:00:00.000Z,10107
2022-09-10T00:00:00.000Z,2022-09-11T00:00:00.000Z,10956
2022-09-11T00:00:00.000Z,2022-09-12T00:00:00.000Z,8353
2022-09-12T00:00:00.000Z,2022-09-13T00:00:00.000Z,7551
2022-09-13T00:00:00.000Z,2022-09-14T00:00:00.000Z,8367
2022-09-14T00:00:00.000Z,2022-09-15T00:00:00.000Z,8676
2022-09-15T00:00:00.000Z,2022-09-16T00:00:00.000Z,8806
2022-09-16T00:00:00.000Z,2022-09-17T00:00:00.000Z,10034
2022-09-17T00:00:00.000Z,2022-09-18T00:00:00.000Z,8115
2022-09-18T00:00:00.000Z,2022-09-19T00:00:00.000Z,7128
2022-09-19T00:00:00.000Z,2022-09-20T00:00:00.000Z,7096
2022-09-20T00:00:00.000Z,2022-09-21T00:00:00.000Z,8300
2022-09-21T00:00:00.000Z,2022-09-22T00:00:00.000Z,10055
2022-09-22T00:00:00.000Z,2022-09-23T00:00:00.000Z,12677
2022-09-23T00:00:00.000Z,2022-09-24T00:00:00.000Z,12078
2022-09-24T00:00:00.000Z,2022-09-25T00:00:00.000Z,14507
2022-09-25T00:00:00.000Z,2022-09-26T00:00:00.000Z,11865
2022-09-26T00:00:00.000Z,2022-09-27T00:00:00.000Z,11676
2022-09-27T00:00:00.000Z,2022-09-28T00:00:00.000Z,11547
2022-09-28T00:00:00.000Z,2022-09-29T00:00:00.000Z,11316
2022-09-29T00:00:00.000Z,2022-09-30T00:00:00.000Z,10868
2022-09-30T00:00:00.000Z,2022-10-01T00:00:00.000Z,11558
2022-07-31T00:00:00.000Z,2022-08-01T00:00:00.000Z,6791
2022-08-01T00:00:00.000Z,2022-08-02T00:00:00.000Z,8646
2022-08-02T00:00:00.000Z,2022-08-03T00:00:00.000Z,9868
2022-08-03T00:00:00.000Z,2022-08-04T00:00:00.000Z,19115
2022-08-04T00:00:00.000Z,2022-08-05T00:00:00.000Z,13601
2022-08-05T00:00:00.000Z,2022-08-06T00:00:00.000Z,11959
2022-08-06T00:00:00.000Z,2022-08-07T00:00:00.000Z,10103
2022-08-07T00:00:00.000Z,2022-08-08T00:00:00.000Z,8973
2022-08-08T00:00:00.000Z,2022-08-09T00:00:00.000Z,9128
2022-08-09T00:00:00.000Z,2022-08-10T00:00:00.000Z,9283
2022-08-10T00:00:00.000Z,2022-08-11T00:00:00.000Z,10906
2022-08-11T00:00:00.000Z,2022-08-12T00:00:00.000Z,11035
2022-08-12T00:00:00.000Z,2022-08-13T00:00:00.000Z,10145
2022-08-13T00:00:00.000Z,2022-08-14T00:00:00.000Z,8336
2022-08-14T00:00:00.000Z,2022-08-15T00:00:00.000Z,7782
2022-08-15T00:00:00.000Z,2022-08-16T00:00:00.000Z,7825
2022-08-16T00:00:00.000Z,2022-08-17T00:00:00.000Z,8634
2022-08-17T00:00:00.000Z,2022-08-18T00:00:00.000Z,9870
2022-08-18T00:00:00.000Z,2022-08-19T00:00:00.000Z,11126
2022-08-19T00:00:00.000Z,2022-08-20T00:00:00.000Z,11865
2022-08-20T00:00:00.000Z,2022-08-21T00:00:00.000Z,8270
2022-08-21T00:00:00.000Z,2022-08-22T00:00:00.000Z,8491
2022-08-22T00:00:00.000Z,2022-08-23T00:00:00.000Z,10249
2022-08-23T00:00:00.000Z,2022-08-24T00:00:00.000Z,9839
2022-08-24T00:00:00.000Z,2022-08-25T00:00:00.000Z,9928
2022-08-25T00:00:00.000Z,2022-08-26T00:00:00.000Z,10343
2022-08-26T00:00:00.000Z,2022-08-27T00:00:00.000Z,11031
2022-08-27T00:00:00.000Z,2022-08-28T00:00:00.000Z,9530
2022-08-28T00:00:00.000Z,2022-08-29T00:00:00.000Z,8584
2022-08-29T00:00:00.000Z,2022-08-30T00:00:00.000Z,8669
2022-08-30T00:00:00.000Z,2022-08-31T00:00:00.000Z,8379
2022-06-30T00:00:00.000Z,2022-07-01T00:00:00.000Z,7871
2022-07-01T00:00:00.000Z,2022-07-02T00:00:00.000Z,10402
2022-07-02T00:00:00.000Z,2022-07-03T00:00:00.000Z,9297
2022-07-03T00:00:00.000Z,2022-07-04T00:00:00.000Z,7362
2022-07-04T00:00:00.000Z,2022-07-05T00:00:00.000Z,6870
2022-07-05T00:00:00.000Z,2022-07-06T00:00:00.000Z,6945
2022-07-06T00:00:00.000Z,2022-07-07T00:00:00.000Z,8809
2022-07-07T00:00:00.000Z,2022-07-08T00:00:00.000Z,9065
2022-07-08T00:00:00.000Z,2022-07-09T00:00:00.000Z,8094
2022-07-09T00:00:00.000Z,2022-07-10T00:00:00.000Z,7494
2022-07-10T00:00:00.000Z,2022-07-11T00:00:00.000Z,6897
2022-07-11T00:00:00.000Z,2022-07-12T00:00:00.000Z,7753
2022-07-12T00:00:00.000Z,2022-07-13T00:00:00.000Z,9068
2022-07-13T00:00:00.000Z,2022-07-14T00:00:00.000Z,9052
2022-07-14T00:00:00.000Z,2022-07-15T00:00:00.000Z,10506
2022-07-15T00:00:00.000Z,2022-07-16T00:00:00.000Z,10672
2022-07-16T00:00:00.000Z,2022-07-17T00:00:00.000Z,8987
2022-07-17T00:00:00.000Z,2022-07-18T00:00:00.000Z,9034
2022-07-18T00:00:00.000Z,2022-07-19T00:00:00.000Z,8723
2022-07-19T00:00:00.000Z,2022-07-20T00:00:00.000Z,10128
2022-07-20T00:00:00.000Z,2022-07-21T00:00:00.000Z,10612
2022-07-21T00:00:00.000Z,2022-07-22T00:00:00.000Z,9330
2022-07-22T00:00:00.000Z,2022-07-23T00:00:00.000Z,10341
2022-07-23T00:00:00.000Z,2022-07-24T00:00:00.000Z,7907
2022-07-24T00:00:00.000Z,2022-07-25T00:00:00.000Z,10185
2022-07-25T00:00:00.000Z,2022-07-26T00:00:00.000Z,7259
2022-07-26T00:00:00.000Z,2022-07-27T00:00:00.000Z,8872
2022-07-27T00:00:00.000Z,2022-07-28T00:00:00.000Z,8759
2022-07-28T00:00:00.000Z,2022-07-29T00:00:00.000Z,8993
2022-07-29T00:00:00.000Z,2022-07-30T00:00:00.000Z,8712
2022-07-30T00:00:00.000Z,2022-07-31T00:00:00.000Z,7811
2022-05-30T00:00:00.000Z,2022-05-31T00:00:00.000Z,8009
2022-05-31T00:00:00.000Z,2022-06-01T00:00:00.000Z,9356
2022-06-01T00:00:00.000Z,2022-06-02T00:00:00.000Z,10971
2022-06-02T00:00:00.000Z,2022-06-03T00:00:00.000Z,9629
2022-06-03T00:00:00.000Z,2022-06-04T00:00:00.000Z,9284
2022-06-04T00:00:00.000Z,2022-06-05T00:00:00.000Z,7313
2022-06-05T00:00:00.000Z,2022-06-06T00:00:00.000Z,6756
2022-06-06T00:00:00.000Z,2022-06-07T00:00:00.000Z,10411
2022-06-07T00:00:00.000Z,2022-06-08T00:00:00.000Z,9638
2022-06-08T00:00:00.000Z,2022-06-09T00:00:00.000Z,10175
2022-06-09T00:00:00.000Z,2022-06-10T00:00:00.000Z,10396
2022-06-10T00:00:00.000Z,2022-06-11T00:00:00.000Z,11815
2022-06-11T00:00:00.000Z,2022-06-12T00:00:00.000Z,8048
2022-06-12T00:00:00.000Z,2022-06-13T00:00:00.000Z,8516
2022-06-13T00:00:00.000Z,2022-06-14T00:00:00.000Z,9509
2022-06-14T00:00:00.000Z,2022-06-15T00:00:00.000Z,10314
2022-06-15T00:00:00.000Z,2022-06-16T00:00:00.000Z,12384
2022-06-16T00:00:00.000Z,2022-06-17T00:00:00.000Z,9367
2022-06-17T00:00:00.000Z,2022-06-18T00:00:00.000Z,8641
2022-06-18T00:00:00.000Z,2022-06-19T00:00:00.000Z,7835
2022-06-19T00:00:00.000Z,2022-06-20T00:00:00.000Z,6857
2022-06-20T00:00:00.000Z,2022-06-21T00:00:00.000Z,6749
2022-06-21T00:00:00.000Z,2022-06-22T00:00:00.000Z,8317
2022-06-22T00:00:00.000Z,2022-06-23T00:00:00.000Z,10754
2022-06-23T00:00:00.000Z,2022-06-24T00:00:00.000Z,9851
2022-06-24T00:00:00.000Z,2022-06-25T00:00:00.000Z,7924
2022-06-25T00:00:00.000Z,2022-06-26T00:00:00.000Z,5789
2022-06-26T00:00:00.000Z,2022-06-27T00:00:00.000Z,6160
2022-06-27T00:00:00.000Z,2022-06-28T00:00:00.000Z,6604
2022-06-28T00:00:00.000Z,2022-06-29T00:00:00.000Z,7847
2022-06-29T00:00:00.000Z,2022-06-30T00:00:00.000Z,7810
